study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
PRJEB52794	SAMEA14394705	ERX9317546	ERR9769350	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769350/ERR9769350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/000/ERR9769350/ERR9769350_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769350/eb3_2_clone15_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769350/eb3_2_clone15_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/000/ERR9769350.bam
PRJEB52794	SAMEA14394700	ERX9317565	ERR9769369	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769369/ERR9769369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769369/ERR9769369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769369/eb3_2_clone2_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769369/eb3_2_clone2_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/009/ERR9769369.bam
PRJEB52794	SAMEA14394703	ERX9317568	ERR9769372	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769372/ERR9769372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/002/ERR9769372/ERR9769372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769372/eb3_2_clone10_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769372/eb3_2_clone10_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/002/ERR9769372.bam
PRJEB52794	SAMEA14394705	ERX9317570	ERR9769374	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769374/ERR9769374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769374/ERR9769374_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769374/eb3_2_clone15_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769374/eb3_2_clone15_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/004/ERR9769374.bam
PRJEB52794	SAMEA14394698	ERX9317531	ERR9769335	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769335/ERR9769335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/005/ERR9769335/ERR9769335_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769335/gm12878_clone4_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769335/gm12878_clone4_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/005/ERR9769335.bam
PRJEB52794	SAMEA14394698	ERX9317532	ERR9769336	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769336/ERR9769336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/006/ERR9769336/ERR9769336_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769336/gm12878_clone4_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769336/gm12878_clone4_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/006/ERR9769336.bam
PRJEB52794	SAMEA14394699	ERX9317534	ERR9769338	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769338/ERR9769338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769338/ERR9769338_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769338/gm12878_clone5_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769338/gm12878_clone5_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/008/ERR9769338.bam
PRJEB52794	SAMEA14394702	ERX9317540	ERR9769344	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769344/ERR9769344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/004/ERR9769344/ERR9769344_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769344/eb3_2_clone4_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769344/eb3_2_clone4_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/004/ERR9769344.bam
PRJEB52794	SAMEA14394704	ERX9317544	ERR9769348	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769348/ERR9769348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/008/ERR9769348/ERR9769348_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769348/eb3_2_clone13_late_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769348/eb3_2_clone13_late_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/008/ERR9769348.bam
PRJEB52794	SAMEA14394705	ERX9317545	ERR9769349	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769349/ERR9769349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/009/ERR9769349/ERR9769349_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769349/eb3_2_clone15_early_rt_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769349/eb3_2_clone15_early_rt_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/009/ERR9769349.bam
PRJEB52794	SAMEA14394698	ERX9317563	ERR9769367	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769367/ERR9769367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/007/ERR9769367/ERR9769367_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769367/gm12878_clone4_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769367/gm12878_clone4_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/007/ERR9769367.bam
PRJEB52794	SAMEA14394704	ERX9317569	ERR9769373	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769373/ERR9769373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR976/003/ERR9769373/ERR9769373_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769373/eb3_2_clone13_rna_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR976/ERR9769373/eb3_2_clone13_rna_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR976/003/ERR9769373.bam
